scholarship_id,scholarship_name,provider,provider_type,source,official_source_url,application_url,country_of_provider,study_country,eligible_nationalities,education_level,study_mode,field_of_study,age_min,age_max,academic_requirement,minimum_percentage_or_gpa,family_income_limit,gender_eligibility,category_eligibility,disability_eligibility,residency_requirement,scholarship_amount,currency,funding_type,tuition_coverage,living_expense_coverage,travel_coverage,accommodation_coverage,application_fee,application_deadline,scholarship_duration,number_of_awards,documents_required,eligibility_criteria,selection_criteria,description,renewable,last_verified
SCH_0178,Nilam Patel Bahushrut Foundation Scholarships,Nilam Patel Bahushrut Foundation,Foundation / Government,Scholar4Study,https://scholar4study.com/scholarships/nilam-patel-bahushrut-foundation-scholarships,https://scholar4study.com/scholarships/nilam-patel-bahushrut-foundation-scholarships,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Verified marks in qualifying examination,60%+,Not specified,Any,General,Equal Opportunity,Not specified,"Merit-based scholarships, prizes & study-abroad awards",INR,Partial,Partial,Not specified,Not specified,Not specified,Free,2026-08-31,Annual,Multiple,Required documents Disability certificate Marksheets for the relevant level (SSC/HSC/Graduate/PG) Proof of residence (Maharashtra or Gujarat) Recent passport-size photograph,"Eligibility Applicants must: Be hearing-impaired students; Be residents of Maharashtra or Gujarat; Be studying at SSC, HSC, Graduate or Post Graduate level; Be selected on merit. Class 9-12 Undergraduate Postgraduate NGO PWD",Selection process 1 Application submitted Your form is filed on the official portal. 2 Institute verification Your college confirms enrolment and documents. 3 State verification The state department reviews and approves. 4 Scholarship approval The sa,"Overview Merit-based scholarships, prizes and study-abroad awards for hearing-impaired students from Maharashtra and Gujarat, at SSC, HSC, Graduate and Post Graduate level, from the Nilam Patel Bahushrut Foundation.",Not specified,2026-09-16
SCH_0179,Boehringer Ingelheim Fonds (BIF) MD Fellowships,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/boehringer-ingelheim-fonds-bif-md-fellowships,https://www.buddy4study.com/scholarship/boehringer-ingelheim-fonds-bif-md-fellowships,India,India,Indian,PhD,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Always Open dummy text Home Scholarships boehringer-ingelheim-fonds-bif-md-fellowships Abou,INR,Fellowship,Partial,Not specified,Travel allowance included,Not specified,Free,Always Open,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be studying human medicine in Germany have a good academic record be willing to put their study on hold and relocate for their research and work for the duration of the MD Fellowship (at least for 10 consecutive months) apply within eight years of obtaining their university entra,"Merit assessment, academic record, and verification.",Boehringer Ingelheim Fonds (BIF) MD Fellowships offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0180,Humboldt Research Fellowship,Alexander von Humboldt-Stiftung,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/humboldt-research-fellowship,https://www.buddy4study.com/scholarship/humboldt-research-fellowship,India,India,Indian,PhD,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Always Open dummy text Home Scholarships humboldt-research-fellowship About The Program The,INR,Fellowship,Partial,Not specified,Travel allowance included,Not specified,Free,Always Open,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- hold a doctorate or equivalent (Ph.,"Merit assessment, academic record, and verification.",Humboldt Research Fellowship offered by Alexander von Humboldt-Stiftung.,Not specified,2026-09-16
SCH_0181,Indian Institute of Astrophysics (IIA) Post-Doctoral Fellowships 2024,"the Indian Institute of Astrophysics, Banglore,",Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/indian-institute-of-astrophysics-iia-post-doctoral-fellowships-2024,https://www.buddy4study.com/scholarship/indian-institute-of-astrophysics-iia-post-doctoral-fellowships-2024,India,India,Indian,PhD,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Closed dummy text Home Scholarships indian-institute-of-astrophysics-iia-post-doctoral-fell,INR,Fellowship,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be below 36 years of age hold a Ph.,"Merit assessment, academic record, and verification.","Indian Institute of Astrophysics (IIA) Post-Doctoral Fellowships 2024 offered by the Indian Institute of Astrophysics, Banglore,.",Not specified,2026-09-16
SCH_0182,Goonj Setu Fellowship 2027,the Goonj organisation,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/goonj-setu-fellowship,https://www.buddy4study.com/scholarship/goonj-setu-fellowship,India,India,Indian,PhD,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"The selected candidates will receive a fixed monthly stipend ranging between ₹20,000 - ₹22,000, depe",INR,Fellowship,Partial,Not specified,Travel allowance included,Not specified,Free,30 April 2026,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable","an applicant must:- be aged between 21 and 30 years as of 31 July 2026 have graduated from a recognised institution by 31 July 2026 have a basic understanding of English/Hindi possess basic computer knowledge Benefits The selected candidates will receive a fixed monthly stipend ranging between ₹20,0","Merit assessment, academic record, and verification.",Goonj Setu Fellowship 2027 offered by the Goonj organisation.,Not specified,2026-09-16
SCH_0183,KARM Fellowship 2024-25,KARM Trust (a registered public charitable trust),Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/karm-fellowship-2024-25,https://www.buddy4study.com/scholarship/karm-fellowship-2024-25,India,India,Indian,PhD,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Closed dummy text Home Scholarships karm-fellowship-2024-25 About The Program KARM Fellowsh,INR,Fellowship,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable","an applicant must:- be a female student be currently studying in Class 12 be willing to pursue a UG course in one of the colleges of Delhi University have an annual family income below ₹5,00,000 have basic proficiency in English and use of technology Benefits The selected candidates will receive the","Merit assessment, academic record, and verification.",KARM Fellowship 2024-25 offered by KARM Trust (a registered public charitable trust).,Not specified,2026-09-16
SCH_0184,Narayana Admission cum Scholarship Test (N-ACST),Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/narayana-admission-cum-scholarship-test-n-acst,https://www.buddy4study.com/scholarship/narayana-admission-cum-scholarship-test-n-acst,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,The selected candidates will receive up to 90% scholarship towards tuition fees for Narayana's progr,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Always Open,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must: be studying in Classes 8 to 12 be aspirants for JEE/NEET examination Benefits The selected candidates will receive up to 90% scholarship towards tuition fees for Narayana's programs.,"Merit assessment, academic record, and verification.",Narayana Admission cum Scholarship Test (N-ACST) offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0185,Satya Scholarship Program 2025-26 [Win 100% tuition fee coverage for the entire course duration],Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/satya-scholarship-program,https://www.buddy4study.com/scholarship/satya-scholarship-program,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Financial assistance / Grant,INR,Grant,Partial,Not specified,Not specified,Not specified,Free,Always Open,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",Refer to official scheme notification.,"Merit assessment, academic record, and verification.",Satya Scholarship Program 2025-26 [Win 100% tuition fee coverage for the entire course duration] offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0186,Prof. C.R. Rao National Award in Statistics 2024-25,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/prof-c-r-rao-national-award-in-statistics-2024-25,https://www.buddy4study.com/scholarship/prof-c-r-rao-national-award-in-statistics-2024-25,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"The selected candidate will receive the following benefits:- ₹5,00,000 cash prize Citation signed by",INR,Partial,Partial,Not specified,Travel allowance included,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be an Indian national be less than 45 years of age on 31st December 2025 have significant contributions in the field of statistics Note:- Individuals who are/were a part of the selection process and their family members are ineligible for this award.,"Merit assessment, academic record, and verification.",Prof. C.R. Rao National Award in Statistics 2024-25 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0187,IISER Berhampur Post-Doctoral Research Fellowship (PDRF) 2025-26,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/iiser-berhampur-post-doctoral-research-fellowship-pdrf-2025-26,https://www.buddy4study.com/scholarship/iiser-berhampur-post-doctoral-research-fellowship-pdrf-2025-26,India,India,Indian,PhD,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline 31-Dec-2026 dummy text Home Scholarships iiser-berhampur-post-doctoral-research-fellowship-,INR,Fellowship,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be an Indian or foreign national be below the age of 35 years on the date of application hold a Ph.,"Merit assessment, academic record, and verification.",IISER Berhampur Post-Doctoral Research Fellowship (PDRF) 2025-26 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0188,Janhit Jagran Funding Initiative for Social Entrepreneurs 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/janhit-jagran-funding-initiative-for-social-entrepreneurs-2025,https://www.buddy4study.com/scholarship/janhit-jagran-funding-initiative-for-social-entrepreneurs-2025,International,International,All Nationalities,School,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Not specified,Deadline Closed dummy text Home Scholarships janhit-jagran-funding-initiative-for-social-entrepreneu,EUR,Partial,Partial,Included in stipend,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be an Indian national be a student and young entrepreneur aged between 18 to 25 years have passed Class 12 be a part of an educational institution OR be a for-profit organisation registered under the Company Act 2013 be at least 3 years old organisation has a proof of concept OR,"Merit assessment, academic record, and verification.",Janhit Jagran Funding Initiative for Social Entrepreneurs 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0189,IKS Post Doctoral Fellowship 2025-26,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/iks-post-doctoral-fellowship-2025-26,https://www.buddy4study.com/scholarship/iks-post-doctoral-fellowship-2025-26,India,India,Indian,PhD,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Closed dummy text Home Scholarships iks-post-doctoral-fellowship-2025-26 About The Program,INR,Fellowship,Partial,Not specified,Travel allowance included,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must: be an Indian citizen/Overseas citizen of India (OCI) be holding a Ph.,"Merit assessment, academic record, and verification.",IKS Post Doctoral Fellowship 2025-26 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0190,IIT Tirupati Graduates/Diploma Apprenticeship Training Program 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/iit-tirupati-graduates-diploma-apprenticeship-training-program-2025,https://www.buddy4study.com/scholarship/iit-tirupati-graduates-diploma-apprenticeship-training-program-2025,India,India,Indian,School,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"Particulars Stipend per month Graduate ₹20,000 Diploma ₹18,000 Note:- No TA/DA will be paid to the a",INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must: be an Indian national be qualified from Indian Institutions recognised by Appropriate Statutory Authority be a graduate or a diploma holder in the field of science (B.,"Merit assessment, academic record, and verification.",IIT Tirupati Graduates/Diploma Apprenticeship Training Program 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0191,USF STEM Fellowship 2025-27,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/usf-stem-fellowship-2025-27,https://www.buddy4study.com/scholarship/usf-stem-fellowship-2025-27,India,India,Indian,PhD,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"Particualrs Stipend Per Month First Year of Fellowship ₹20,000 Second Year of Fellowship ₹22,500 Doc",INR,Fellowship,Partial,Not specified,Not specified,Not specified,Free,15 February 2025,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable","an applicant must:- be a citizen of India be above 20 years of age have skills in MS Office have ence for science, IT, and engineering backgrounds have knowledge of Marathi, Hindi, and English languages Note:- Applicants with no work experience are eligible for this fellowship.","Merit assessment, academic record, and verification.",USF STEM Fellowship 2025-27 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0192,Sant Sohirobanath Ambiye Dnyanvruddhi Shishyavrutti Bursary Scheme 2024-25,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/sant-sohirobanath-ambiye-dnyanvruddhi-shishyavrutti-bursary-scheme-2024-25,https://www.buddy4study.com/scholarship/sant-sohirobanath-ambiye-dnyanvruddhi-shishyavrutti-bursary-scheme-2024-25,India,India,Indian,School,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"The awardees receive an Entitled Fee of up to ₹40,000 that includes university registration fees, tu",INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable","an applicant must:- be pursuing courses for a maximum duration of 5 years from institutions located in Goa and affiliated recognising authority have passed Classes 10, 12, diploma (as applicable) and/or last qualifying examination from an institution in Goa have an annual family income of less than","Merit assessment, academic record, and verification.",Sant Sohirobanath Ambiye Dnyanvruddhi Shishyavrutti Bursary Scheme 2024-25 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0193,Azim Premji University Need-Based Scholarships 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/azim-premji-university-need-based-scholarships-2025,https://www.buddy4study.com/scholarship/azim-premji-university-need-based-scholarships-2025,India,India,Indian,Postgraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Always Open dummy text Home Scholarships azim-premji-university-need-based-scholarships-202,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Always Open,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable","an applicant must: be in need of financial assistance be pursuing UG and PG courses at the Azim Premji University have annual income less than less ₹10,00,000 (for UG) or ₹8,00,000 (for PG)) Note : In addition, in certain postgraduate programmes, students with work experience may qualify for a parti","Merit assessment, academic record, and verification.",Azim Premji University Need-Based Scholarships 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0194,IIT Hyderabad Summer Undergraduate Research Exposure (SURE) Internships 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/iit-hyderabad-summer-undergraduate-research-exposure-sure-internships-2025,https://www.buddy4study.com/scholarship/iit-hyderabad-summer-undergraduate-research-exposure-sure-internships-2025,India,India,Indian,Postgraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"- Duration Stipend 2 Months ₹15,000 1 Month ₹7,500 1.",INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must: be a non-IIT undergraduate or postgraduate student be studying in one of the following courses: M.,"Merit assessment, academic record, and verification.",IIT Hyderabad Summer Undergraduate Research Exposure (SURE) Internships 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0195,NHPC Sports Scholarship Scheme 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/nhpc-sports-scholarship-scheme-2025,https://www.buddy4study.com/scholarship/nhpc-sports-scholarship-scheme-2025,India,India,Indian,Postgraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"a maximum amount of ₹5,000 for each candidate towards the purchase of a sports kit.",INR,Partial,Partial,Not specified,Travel allowance included,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable","an applicant must:- be an Indian national be between 14 to 19 years old (for junior players ) or 14 to 24 years old (for para-sports ) For applicants as an Elite Scholar, they must:- be representing the country at the junior or senior level ( in a team game ) have secured a National or international","Merit assessment, academic record, and verification.",NHPC Sports Scholarship Scheme 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0196,The inStem Summer Research Fellowships Program (SuRF) 2026,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/the-instem-summer-research-fellowships-program-surf-2026,https://www.buddy4study.com/scholarship/the-instem-summer-research-fellowships-program-surf-2026,India,India,Indian,PhD,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"The selected students will receive orientation, laboratory research, lecture series, presentations,",INR,Fellowship,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must be students: Entering the 2nd year of M.,"Merit assessment, academic record, and verification.",The inStem Summer Research Fellowships Program (SuRF) 2026 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0197,Ahmedabad University Summer Internship Programme 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/ahmedabad-university-summer-internship-programme-2025,https://www.buddy4study.com/scholarship/ahmedabad-university-summer-internship-programme-2025,India,India,Indian,Postgraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Closed dummy text Home Scholarships ahmedabad-university-summer-internship-programme-2025 A,INR,Partial,Partial,Not specified,Travel allowance included,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be enrolled in a full-time Bachelor’s or Master’s programme in a recognised University/Institution in India or abroad must have good academic record Note:- Students who have appeared for the final examination or have just completed their Bachelor’s or Master’s programme are also,"Merit assessment, academic record, and verification.",Ahmedabad University Summer Internship Programme 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0198,IIIT Delhi Summer Internships 2025,the Indraprastha Institute of In,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/iiit-delhi-summer-internships-2025,https://www.buddy4study.com/scholarship/iiit-delhi-summer-internships-2025,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"The selected candidates will receive a monthly stipend of ₹5,000.",INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must:- be currently enrolled in B.,"Merit assessment, academic record, and verification.",IIIT Delhi Summer Internships 2025 offered by the Indraprastha Institute of In.,Not specified,2026-09-16
SCH_0199,CSIR-CMERI Summer Internship 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/csir-cmeri-summer-internship-2025,https://www.buddy4study.com/scholarship/csir-cmeri-summer-internship-2025,India,India,Indian,School,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"The selected candidate will receive the following benefits:- Hands-on experience on, ongoing researc",INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must: be an Indian student have passed Class 10 and 12 with a first division have scored 7.,"Merit assessment, academic record, and verification.",CSIR-CMERI Summer Internship 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0200,NESAC Student Internship 2025,"the North Eastern Space Applications Centre (NESAC), Department of Space, Government of In",Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/nesac-student-internship-2025,https://www.buddy4study.com/scholarship/nesac-student-internship-2025,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,The selected students will receive a certificate of appreciation upon the completion of the internsh,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",applicants must:- be a citizen of India be pursuing B.,"Merit assessment, academic record, and verification.","NESAC Student Internship 2025 offered by the North Eastern Space Applications Centre (NESAC), Departm.",Not specified,2026-09-16
SCH_0201,IIIT Vadodara Research Internship 2025,the Indian Institute of In,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/iiit-vadodara-research-internship-2025,https://www.buddy4study.com/scholarship/iiit-vadodara-research-internship-2025,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Closed dummy text Home Scholarships iiit-vadodara-research-internship-2025 About The Progra,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable","applicants must:- be a non-IIIT Vadodara student have thoroughly read at least one research paper, preferably with completed or ongoing research work Benefits The selected students will receive a mentorship under the guidance of esteemed faculty.","Merit assessment, academic record, and verification.",IIIT Vadodara Research Internship 2025 offered by the Indian Institute of In.,Not specified,2026-09-16
SCH_0202,NIT Tiruchirappalli Summer Internship 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/nit-tiruchirappalli-summer-internship-2025,https://www.buddy4study.com/scholarship/nit-tiruchirappalli-summer-internship-2025,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,An opportunity to interact and work with experienced faculty at NIT Tiruchirappalli.,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",applicants must: be pursuing undergraduate studies be admitted to a full-time regular course Benefits The selected candidates will receive the following benefits: An opportunity to interact and work with experienced faculty at NIT Tiruchirappalli.,"Merit assessment, academic record, and verification.",NIT Tiruchirappalli Summer Internship 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0203,AICTE Sarswati Scholarship Scheme 2024-25,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/aicte-sarswati-scholarship-scheme-2024-25,https://www.buddy4study.com/scholarship/aicte-sarswati-scholarship-scheme-2024-25,India,India,Indian,School,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,"The selected candidates will receive ₹25,000 per annum for 3 years of study.",INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable","an applicant must:- be an Indian national be a female student be admitted to the first year of the BBA, BCA, and BMS degree-level in any of the AICTE-approved institutions have an annual family income less than ₹8,00,000 from all sources Note:- A maximum of 2 girl children in a family are eligible f","Merit assessment, academic record, and verification.",AICTE Sarswati Scholarship Scheme 2024-25 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0204,NIT Warangal Summer Internship Programme 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/nit-warangal-summer-internship-programme-2025,https://www.buddy4study.com/scholarship/nit-warangal-summer-internship-programme-2025,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,The selected candidate will receive free accommodation at the NIT Warangal hostel while working on c,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must: be B.,"Merit assessment, academic record, and verification.",NIT Warangal Summer Internship Programme 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
SCH_0205,Prime Minister's Scheme for Mentoring Young Authors 2025,Corporate CSR / Foundation / University,Corporate / Foundation / Academic,Buddy4Study,https://www.buddy4study.com/scholarship/prime-minister-s-scheme-for-mentoring-young-authors-2025,https://www.buddy4study.com/scholarship/prime-minister-s-scheme-for-mentoring-young-authors-2025,India,India,Indian,Undergraduate,Full-time,All,Not specified,Not specified,Academic merit as per program guidelines,Good academic record,Not specified,Any,General,Equal Opportunity,Indian resident,Deadline Closed dummy text Home Scholarships prime-minister-s-scheme-for-mentoring-young-authors-202,INR,Partial,Partial,Not specified,Not specified,Not specified,Free,Not specified,1 to 2 years,Multiple,"Marksheet, Academic certificates, ID proof, CV/Proposal where applicable",an applicant must: be an Indian national be below 30 years of age be PIOs or NRIs holding Indian passports Note:- Applicants who had qualified for the PM-YUVA Scheme 1.,"Merit assessment, academic record, and verification.",Prime Minister's Scheme for Mentoring Young Authors 2025 offered by Corporate CSR / Foundation / University.,Not specified,2026-09-16
